2.64E-02,2.64E-04,-1.32E+01,4.92E-02
4.65E-02,4.65E-04,-1.23E+01,1.57E-02
6.28E-02,6.28E-04,-1.17E+01,7.30E-03
7.42E-02,7.42E-04,-1.13E+01,4.73E-03
8.37E-02,8.37E-04,-1.10E+01,2.57E-03
9.16E-02,9.16E-04,-1.08E+01,1.67E-03
9.92E-02,9.92E-04,-1.06E+01,1.33E-03
1.05E-01,1.05E-03,-1.04E+01,1.24E-03
1.11E-01,1.11E-03,-1.03E+01,8.30E-04
1.15E-01,1.15E-03,-1.02E+01,7.28E-04
1.20E-01,1.20E-03,-1.01E+01,6.32E-04
1.24E-01,1.24E-03,-9.96E+00,5.44E-04
1.28E-01,1.28E-03,-9.87E+00,4.89E-04
1.32E-01,1.32E-03,-9.78E+00,4.25E-04
1.35E-01,1.35E-03,-9.70E+00,3.47E-04
1.38E-01,1.38E-03,-9.63E+00,2.64E-04
1.41E-01,1.41E-03,-9.56E+00,3.00E-04
1.44E-01,1.44E-03,-9.50E+00,2.59E-04
1.47E-01,1.47E-03,-9.43E+00,2.20E-04
1.49E-01,1.49E-03,-9.38E+00,2.06E-04
1.52E-01,1.52E-03,-9.32E+00,1.78E-04
1.54E-01,1.54E-03,-9.27E+00,1.94E-04
1.56E-01,1.56E-03,-9.22E+00,1.77E-04
1.59E-01,1.59E-03,-9.17E+00,1.78E-04
1.61E-01,1.61E-03,-9.13E+00,1.53E-04
1.62E-01,1.62E-03,-9.09E+00,1.60E-04
1.64E-01,1.64E-03,-9.05E+00,1.50E-04
1.66E-01,1.66E-03,-9.00E+00,1.56E-04
1.68E-01,1.68E-03,-8.97E+00,1.51E-04
1.70E-01,1.70E-03,-8.93E+00,1.23E-04
1.72E-01,1.72E-03,-8.89E+00,1.37E-04
1.73E-01,1.73E-03,-8.86E+00,1.31E-04
1.75E-01,1.75E-03,-8.82E+00,1.16E-04
1.76E-01,1.76E-03,-8.79E+00,1.08E-04
1.78E-01,1.78E-03,-8.76E+00,1.01E-04
1.79E-01,1.79E-03,-8.73E+00,1.06E-04
1.81E-01,1.81E-03,-8.70E+00,8.57E-05
1.82E-01,1.82E-03,-8.67E+00,6.97E-05
1.83E-01,1.83E-03,-8.64E+00,1.00E-04
1.85E-01,1.85E-03,-8.62E+00,8.26E-05
