Bandgap 3:14 PM 10/17/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
2.319E-1	4.563E-4	-7.692E+0	1.187E-8	5.000E+1
2.331E-1	4.664E-4	-7.670E+0	1.429E-8	5.000E+1
2.343E-1	4.760E-4	-7.650E+0	1.079E-8	5.000E+1
2.354E-1	4.857E-4	-7.630E+0	1.283E-8	5.000E+1
2.365E-1	4.958E-4	-7.609E+0	9.333E-9	5.000E+1
2.376E-1	5.055E-4	-7.590E+0	1.393E-8	5.000E+1
2.386E-1	5.156E-4	-7.570E+0	1.505E-8	5.000E+1
2.396E-1	5.253E-4	-7.552E+0	1.594E-8	5.000E+1
2.407E-1	5.354E-4	-7.532E+0	1.299E-8	5.000E+1
2.417E-1	5.451E-4	-7.515E+0	1.574E-8	5.000E+1
2.427E-1	5.552E-4	-7.496E+0	1.283E-8	5.000E+1
2.436E-1	5.649E-4	-7.479E+0	1.429E-8	5.000E+1
2.446E-1	5.751E-4	-7.461E+0	1.446E-8	5.000E+1
2.456E-1	5.847E-4	-7.444E+0	1.753E-8	5.000E+1
2.465E-1	5.949E-4	-7.427E+0	1.502E-8	5.000E+1
2.474E-1	6.046E-4	-7.411E+0	1.486E-8	5.000E+1
2.483E-1	6.147E-4	-7.394E+0	1.240E-8	5.000E+1
2.492E-1	6.244E-4	-7.379E+0	1.541E-8	5.000E+1
2.509E-1	6.442E-4	-7.347E+0	9.667E-9	5.000E+1
2.526E-1	6.641E-4	-7.317E+0	1.557E-8	5.000E+1
2.535E-1	6.742E-4	-7.302E+0	1.393E-8	5.000E+1
2.551E-1	6.941E-4	-7.273E+0	1.638E-8	5.000E+1
2.567E-1	7.139E-4	-7.245E+0	1.393E-8	5.000E+1
2.583E-1	7.333E-4	-7.218E+0	1.574E-8	5.000E+1
2.597E-1	7.531E-4	-7.191E+0	1.150E-8	5.000E+1
2.612E-1	7.730E-4	-7.165E+0	1.609E-8	5.000E+1
2.631E-1	7.982E-4	-7.133E+0	1.150E-8	5.000E+1
2.648E-1	8.229E-4	-7.103E+0	1.140E-8	5.000E+1
2.665E-1	8.477E-4	-7.073E+0	1.320E-8	5.000E+1
2.682E-1	8.724E-4	-7.044E+0	1.612E-8	5.000E+1
2.702E-1	9.024E-4	-7.010E+0	1.072E-8	5.000E+1
2.721E-1	9.320E-4	-6.978E+0	1.187E-8	5.000E+1
2.740E-1	9.621E-4	-6.946E+0	1.341E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.526E-8	5.000E+1
2.746E-1	9.713E-4	-6.937E+0	1.502E-8	5.000E+1
2.746E-1	9.713E-4	-6.937E+0	1.502E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.594E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.594E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.502E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.541E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.515E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.421E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.626E-8	5.000E+1
2.744E-1	9.713E-4	-6.937E+0	1.753E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.502E-8	5.000E+1
2.745E-1	9.713E-4	-6.937E+0	1.672E-8	5.000E+1
