199,46
200,49
201,83
202,70
203,56
204,70
205,86
206,59
207,79
208,85
209,90
210,74
211,80
212,85
213,75
214,64
215,94
216,84
217,68
218,99
219,103
220,40
221,66
222,36
223,33
224,93
225,68
226,27
227,66
228,74
229,72
230,77
231,63
232,82
233,32
234,84
235,66
236,53
237,83
238,61
239,53
240,58
241,16
242,53
243,108
244,51
245,68
246,96
247,61
248,-20
249,66
250,22
251,83
252,81
253,65
254,34
255,25
256,52
257,64
258,94
259,61
260,89
261,54
262,106
263,73
264,111
265,139
266,137
267,116
268,142
269,148
270,142
271,108
272,160
273,167
274,214
275,187
276,188
277,205
278,263
279,228
280,258
281,278
282,309
283,262
284,292
285,307
286,314
287,300
288,347
289,363
290,346
291,384
292,366
293,382
294,356
295,380
296,395
297,382
298,385
299,395
300,334
301,354
302,335
303,359
304,333
305,308
306,300
307,277
308,306
309,297
310,265
311,274
312,252
313,240
314,215
315,224
316,217
317,197
318,177
319,152
320,162
321,147
322,155
323,141
324,126
325,131
326,117
327,116
328,96
329,93
330,80
331,50
332,67
333,76
334,46
335,29
336,48
337,39
338,15
339,48
340,32
341,46
342,60
343,31
344,17
345,0
346,44
347,12
348,28
349,10
350,11
351,8
352,17
353,23
354,32
355,23
356,40
357,16
358,-11
359,11
360,20
361,12
362,27
363,10
364,18
365,19
366,7
367,23
368,9
369,22
370,6
371,0
372,4
373,21
374,13
375,1
376,6
377,-2
378,15
379,16
380,-5
381,3
382,22
383,9
384,4
385,9
386,-4
387,26
388,6
389,-8
390,-15
391,12
392,8
393,3
394,8
395,7
396,-3
397,-1
398,8
399,12
400,-8
