3.041392685,-12.93111871,0.001
3.562768543,-12.26906079,0.001
4.045166448,-11.75717743,0.001
4.563991023,-11.21978023,0.001
5.04556158,-10.74026845,0.001
3.032215703,-13.04026318,0.001
3.56014584,-12.29060047,0.001
4.044304519,-11.76369197,0.001
4.56371834,-11.22197443,0.001
5.045475542,-10.72911503,0.001
3,-13.06145248,0.001
3.550717423,-12.29429661,0.001
4.041234731,-11.76150958,0.001
4.562804198,-11.22260339,0.001
5.045170362,-10.7302277,0.001
2.894316063,-13.15836249,0.001
3.522704993,-12.3171595,0.001
4.032376971,-11.77253287,0.001
4.560157797,-11.22449574,0.001
5.044300597,-10.73032899,0.001
3.410945859,-12.45399746,0.001
3.999869692,-11.80617997,0.001
4.550754082,-11.2350537,0.001
5.041238681,-10.73164796,0.001
3.021602716,-12.98227123,0.001
3.894260664,-11.91532444,0.001
4.522757126,-11.25867875,0.001
5.032376971,-10.73758187,0.001
