1528,136
1529,113
1530,101
1531,126
1532,148
1533,148
1534,132
1535,141
1536,154
1537,151
1538,187
1539,188
1540,191
1541,188
1542,180
1543,218
1544,234
1545,241
1546,226
1547,239
1548,242
1549,285
1550,278
1551,250
1552,306
1553,297
1554,280
1555,311
1556,331
1557,341
1558,299
1559,326
1560,333
1561,366
1562,336
1563,370
1564,379
1565,362
1566,347
1567,391
1568,384
1569,382
1570,356
1571,366
1572,349
1573,381
1574,392
1575,347
1576,368
1577,350
1578,340
1579,333
1580,340
1581,298
1582,300
1583,310
1584,285
1585,284
1586,258
1587,289
1588,230
1589,260
1590,234
1591,252
1592,210
1593,242
1594,205
1595,207
1596,176
1597,171
1598,171
1599,143
1600,161
1601,164
1602,147
1603,122
1604,123
1605,123
1606,110
1607,117
