Channel,net counts,Counts(w),Counts(wo),N=2
352,62,326,132,
353,91,363,136,
354,13,313,150,
355,31,325,147,
356,119,345,113,
357,111,371,130,
358,65,303,119,
359,55,341,143,
360,103,361,129,
361,37,349,156,
362,70,326,128,
363,85,323,119,
364,4,290,143,
365,85,347,131,
366,89,333,122,
367,61,329,134,
368,105,345,120,
369,85,315,115,
370,101,319,109,
371,102,336,117,
372,77,303,113,
373,83,323,120,
374,66,318,126,
375,107,333,113,
376,52,296,122,
377,82,316,117,
378,84,312,114,
379,87,315,114,
380,77,313,118,
381,80,354,137,
382,70,296,113,
383,99,319,110,
384,40,274,117,
385,36,272,118,
386,75,277,101,
387,106,316,105,
388,137,333,98,
389,75,299,112,
390,71,293,111,
391,10,282,136,
392,78,280,101,
393,79,287,104,
394,74,284,105,
395,111,301,95,
396,78,294,108,
397,81,307,113,
398,104,302,99,
399,108,278,85,
400,68,274,103,
401,86,282,98,
402,100,268,84,
403,68,266,99,
404,37,255,109,
405,94,300,103,
406,55,255,100,
407,80,284,102,
408,110,264,77,
409,77,291,107,
410,83,285,101,
411,84,274,95,
412,76,256,90,
413,43,265,111,
414,95,273,89,
415,89,261,86,
416,71,259,94,
417,60,290,115,
418,38,222,92,
419,66,278,106,
420,112,272,80,
421,53,271,109,
422,110,296,93,
423,39,247,104,
424,43,263,110,
425,68,270,101,
426,56,264,104,
427,61,265,102,
428,49,255,103,
429,78,264,93,
430,34,244,105,
431,62,246,92,
432,70,260,95,
433,89,261,86,
434,59,245,93,
435,104,282,89,
436,79,267,94,
437,47,271,112,
438,89,281,96,
439,78,272,97,
440,113,263,75,
441,93,281,94,
442,73,255,91,
443,47,253,103,
444,61,241,90,
445,61,267,103,
446,53,273,110,
447,39,233,97,
448,126,266,70,
449,94,258,82,
450,65,263,99,
451,116,274,79,
452,77,249,86,
453,94,310,108,
454,56,258,101,
455,83,287,102,
456,79,235,78,
457,72,260,94,
458,82,248,83,
459,54,262,104,
460,67,245,89,
461,60,274,107,
462,62,234,86,
463,67,255,94,
464,59,249,95,
465,91,263,86,
466,94,284,95,
467,50,268,109,
468,62,244,91,
469,56,248,96,
470,37,237,100,
471,110,256,73,
472,53,235,91,
473,132,284,76,
474,45,243,99,
475,31,285,127,
476,66,244,89,
477,76,248,86,
478,45,261,108,
479,72,254,91,
480,53,237,92,
481,94,252,79,
482,78,250,86,
483,86,252,83,
484,64,258,97,
485,47,275,114,
486,75,263,94,
487,48,232,92,
488,61,249,94,
489,102,310,104,
490,34,238,102,
491,79,263,92,
492,68,236,84,
493,79,257,89,
494,91,267,88,
495,41,259,109,
496,75,261,93,
497,74,224,75,
498,92,272,90,
499,62,260,99,
500,47,233,93,
501,74,262,94,
502,70,240,85,
503,14,230,108,
504,62,264,101,
505,62,242,90,
506,62,248,93,
507,79,267,94,
508,44,242,99,
509,50,224,87,
510,74,246,86,
511,68,258,95,
512,61,223,81,
513,84,258,87,
514,68,260,96,
515,21,235,107,
516,90,270,90,
517,89,283,97,
518,40,250,105,
519,86,252,83,
520,84,256,86,
521,21,237,108,
522,87,253,83,
523,15,221,103,
524,42,232,95,
525,37,233,98,
526,107,257,75,
527,54,250,98,
528,37,233,98,
529,63,239,88,
530,28,220,96,
531,53,231,89,
532,60,256,98,
533,36,244,104,
534,90,256,83,
535,91,251,80,
536,61,209,74,
537,52,236,92,
538,82,258,88,
539,83,243,80,
540,77,251,87,
541,77,255,89,
542,48,234,93,
543,53,243,95,
544,45,227,91,
545,31,219,94,
546,64,240,88,
547,66,228,81,
548,89,239,75,
549,53,231,89,
550,42,222,90,
551,77,229,76,
552,63,223,80,
553,52,228,88,
554,84,244,80,
555,20,220,100,
556,78,238,80,
557,77,221,72,
558,33,235,101,
559,74,218,72,
560,65,251,93,
561,61,239,89,
562,83,233,75,
563,50,212,81,
564,59,225,83,
565,65,233,84,
566,18,208,95,
567,47,221,87,
568,34,212,89,
569,52,232,90,
570,40,204,82,
571,79,249,85,
572,8,196,94,
573,32,180,74,
574,49,215,83,
575,71,221,75,
576,42,192,75,
577,28,198,85,
578,41,193,76,
579,42,206,82,
580,53,187,67,
581,-3,179,91,
582,16,190,87,
583,45,185,70,
584,33,195,81,
585,83,215,66,
586,64,198,67,
587,17,175,79,
588,27,179,76,
589,75,219,72,
590,21,175,77,
591,14,190,88,
592,14,188,87,
593,54,198,72,
594,53,195,71,
595,50,196,73,
596,43,195,76,
597,31,183,76,
598,24,168,72,
599,83,203,60,
600,45,187,71,
601,60,198,69,
602,14,178,82,
603,14,168,77,
604,27,165,69,
605,26,174,74,
606,53,167,57,
607,12,158,73,
608,47,173,63,
609,21,169,74,
610,80,184,52,
611,22,162,70,
612,43,169,63,
613,4,158,77,
614,40,164,62,
615,34,168,67,
616,40,154,57,
617,33,177,72,
618,-20,140,80,
619,22,156,67,
620,33,175,71,
621,32,164,66,
622,44,170,63,
623,23,169,73,
624,12,180,84,
625,40,164,62,
626,44,152,54,
627,19,155,68,
628,7,153,73,
629,60,180,60,
630,29,149,60,
631,8,158,75,
632,30,158,64,
633,24,148,62,
634,15,137,61,
635,59,159,50,
636,27,147,60,
637,20,152,66,
638,39,171,66,
639,12,140,64,
640,32,160,64,
641,15,147,66,
642,32,152,60,
643,23,135,56,
644,18,156,69,
645,35,169,67,
646,37,149,56,
647,35,151,58,
648,83,157,37,
649,33,155,61,
650,37,145,54,
651,52,146,47,
652,65,163,49,
653,30,160,65,
654,6,140,67,
655,52,138,43,
656,40,166,63,
657,35,169,67,
658,49,157,54,
659,25,141,58,
660,-2,134,68,
661,9,141,66,
662,29,155,63,
663,29,145,58,
664,1,129,64,
665,39,157,59,
666,36,136,50,
667,-6,148,77,
668,35,159,62,
669,8,144,68,
670,32,150,59,
671,-57,131,94,
672,30,142,56,
673,20,148,64,
674,40,162,61,
675,23,157,67,
676,-2,120,61,
677,5,137,66,
678,30,152,61,
679,31,153,61,
680,-1,121,61,
681,36,164,64,
682,38,154,58,
683,2,132,65,
