725,31
726,22
727,23
728,56
729,29
730,35
731,73
732,-3
733,44
734,45
735,2
736,32
737,6
738,25
739,54
740,29
741,37
742,47
743,75
744,73
745,76
746,23
747,-5
748,65
749,88
750,70
751,61
752,81
753,92
754,64
755,99
756,48
757,52
758,60
759,34
760,68
761,108
762,129
763,85
764,86
765,103
766,80
767,137
768,87
769,114
770,158
771,104
772,117
773,171
774,176
775,134
776,97
777,116
778,151
779,191
780,148
781,158
782,205
783,190
784,181
785,208
786,215
787,264
788,210
789,203
790,240
791,201
792,238
793,207
794,254
795,251
796,210
797,268
798,221
799,243
800,225
801,191
802,254
803,232
804,241
805,255
806,201
807,259
808,166
809,262
810,267
811,296
812,232
813,305
814,267
815,281
816,253
817,257
818,300
819,208
820,248
821,258
822,260
823,293
824,279
825,181
826,232
827,259
828,252
829,242
830,279
831,231
832,164
833,214
834,274
835,184
836,235
837,229
838,186
839,207
840,178
841,168
842,140
843,117
844,182
845,178
846,127
847,140
848,126
849,121
850,139
851,151
852,109
853,89
854,110
855,98
856,2
857,93
858,133
859,51
860,125
861,121
862,77
863,118
864,38
865,112
866,52
867,68
868,36
869,27
870,80
871,53
872,49
873,75
874,73
875,69
876,53
877,32
878,60
879,54
880,3
881,35
882,22
883,-13
884,37
885,49
886,-11
887,13
888,-11
889,28
890,-6
891,-5
892,3
893,4
894,13
895,-9
896,11
897,9
898,25
899,17
900,-5
