Channel,net counts,counts(w),counts(wo),N=1
353,184,236,52,
354,174,244,70,
355,214,299,85,
356,231,288,57,
357,209,284,75,
358,191,261,70,
359,216,268,52,
360,244,311,67,
361,258,315,57,
362,235,297,62,
363,269,330,61,
364,243,302,59,
365,265,331,66,
366,269,327,58,
367,259,328,69,
368,263,328,65,
369,275,339,64,
370,274,330,56,
371,278,348,70,
372,271,339,68,
373,293,369,76,
374,283,353,70,
375,332,392,60,
376,329,377,48,
377,284,340,56,
378,278,343,65,
379,314,373,59,
380,284,340,56,
381,318,385,67,
382,308,364,56,
383,338,383,45,
384,298,352,54,
385,296,346,50,
386,290,345,55,
387,276,329,53,
388,255,321,66,
389,227,293,66,
390,247,311,64,
391,256,307,51,
392,247,306,59,
393,236,289,53,
394,234,274,40,
395,261,307,46,
396,246,284,38,
397,208,254,46,
398,202,239,37,
399,182,226,44,
400,209,260,51,
401,184,237,53,
402,196,243,47,
403,165,221,56,
404,146,195,49,
405,158,221,63,
406,118,168,50,
407,155,200,45,
408,158,203,45,
409,109,174,65,
410,114,159,45,
411,110,160,50,
412,94,143,49,
413,105,144,39,
414,100,148,48,
415,86,128,42,
416,102,140,38,
417,75,114,39,
418,72,115,43,
419,82,125,43,
420,34,91,57,
421,73,112,39,
422,64,106,42,
423,57,108,51,
424,52,93,41,
425,61,102,41,
426,60,103,43,
427,42,90,48,
428,54,99,45,
429,25,81,56,
430,24,75,51,
431,7,71,64,
432,25,77,52,
433,31,77,46,
434,22,69,47,
435,30,83,53,
436,14,57,43,
437,26,73,47,
438,31,61,30,
439,26,70,44,
440,6,50,44,
441,19,58,39,
442,11,60,49,
443,19,63,44,
444,28,77,49,
445,7,51,44,
446,-12,45,57,
447,9,57,48,
448,-4,45,49,
449,20,49,29,
450,23,58,35,
451,7,55,48,
452,0,53,53,
453,3,58,55,
454,17,59,42,
455,24,59,35,
456,19,45,26,
457,10,53,43,
458,3,47,44,
459,4,52,48,
460,12,58,46,
461,6,42,36,
462,26,61,35,
463,23,58,35,
464,-18,34,52,
