Channel,net Counts,Counts(w),Counts(wo),N=1.1586
352,55,173,102,
353,36,182,126,
354,38,150,97,
355,35,175,121,
356,39,163,107,
357,48,178,112,
358,38,153,99,
359,56,151,82,
360,55,171,100,
361,44,142,85,
362,31,150,103,
363,43,157,98,
364,48,148,86,
365,51,162,96,
366,63,163,86,
367,-9,130,120,
368,52,145,80,
369,65,161,83,
370,16,157,122,
371,44,166,105,
372,42,146,90,
373,40,151,96,
374,58,160,88,
375,40,144,90,
376,50,160,95,
377,44,154,95,
378,29,137,93,
379,51,159,93,
380,61,169,93,
381,5,136,113,
382,51,155,90,
383,73,170,84,
384,34,150,100,
385,26,143,101,
386,27,131,90,
387,50,148,85,
388,29,153,107,
389,51,147,83,
390,19,122,89,
391,44,144,86,
392,35,121,74,
393,62,159,84,
394,15,124,94,
395,19,122,89,
396,51,139,76,
397,27,115,76,
398,31,143,97,
399,31,135,90,
400,51,155,90,
401,45,146,87,
402,37,135,85,
403,8,120,97,
404,39,139,86,
405,26,136,95,
406,34,132,85,
407,8,134,109,
408,23,111,76,
409,49,154,91,
410,13,110,84,
411,39,124,73,
412,33,123,78,
413,79,160,70,
414,41,141,86,
415,12,117,91,
416,31,120,77,
417,35,142,92,
418,13,110,84,
419,55,153,85,
420,42,136,81,
421,13,127,98,
422,56,137,70,
423,66,148,71,
424,34,129,82,
425,44,142,85,
426,32,128,83,
427,46,154,93,
428,41,131,78,
429,26,130,90,
430,31,131,86,
431,0,110,95,
432,6,114,93,
433,24,126,88,
434,5,106,87,
435,22,132,95,
436,17,113,83,
437,39,141,88,
438,29,114,73,
439,37,133,83,
440,25,114,77,
441,50,139,77,
442,34,127,80,
443,32,133,87,
444,37,127,78,
445,28,140,97,
446,32,126,81,
447,57,131,64,
448,46,122,66,
449,52,154,88,
450,60,143,72,
451,63,139,66,
452,77,148,61,
453,57,151,81,
454,42,138,83,
455,41,130,77,
456,38,130,79,
457,55,138,72,
458,83,162,68,
459,58,147,77,
460,41,130,77,
461,40,121,70,
462,35,133,85,
463,61,137,66,
464,64,144,69,
465,54,161,92,
466,49,143,81,
467,78,152,64,
468,57,145,76,
469,52,156,90,
470,71,168,84,
471,82,164,71,
472,69,155,74,
473,88,166,67,
474,54,147,80,
475,109,189,69,
476,57,157,86,
477,116,209,80,
478,98,178,69,
479,107,195,76,
480,74,175,87,
481,100,183,72,
482,87,177,78,
483,105,195,78,
484,88,177,77,
485,112,204,79,
486,109,194,73,
487,119,189,60,
488,100,183,72,
489,154,226,62,
490,147,221,64,
491,148,216,59,
492,142,242,86,
493,159,238,68,
494,131,216,73,
495,174,256,71,
496,186,261,65,
497,180,269,77,
498,215,287,62,
499,196,263,58,
500,183,262,68,
501,182,258,66,
502,184,267,72,
503,176,252,66,
504,203,282,68,
505,202,284,71,
506,221,288,58,
507,205,283,67,
508,196,274,67,
509,243,318,65,
510,229,290,53,
511,244,323,68,
512,198,286,76,
513,194,273,68,
514,247,318,61,
515,218,270,45,
516,226,311,73,
517,237,315,67,
518,235,308,63,
519,263,339,66,
520,230,313,72,
521,232,304,62,
522,206,284,67,
523,216,319,89,
524,243,316,63,
525,267,355,76,
526,234,308,64,
527,224,306,71,
528,221,296,65,
529,237,327,78,
530,203,273,60,
531,236,318,71,
532,209,274,56,
533,233,314,70,
534,232,308,66,
535,218,290,62,
536,182,265,72,
537,198,291,80,
538,202,287,73,
539,211,279,59,
540,203,293,78,
541,205,285,69,
542,198,261,54,
543,212,272,52,
544,177,245,59,
545,167,248,70,
546,193,260,58,
547,202,273,61,
548,184,260,66,
549,160,235,65,
550,128,211,72,
551,150,214,55,
552,122,201,68,
553,153,225,62,
554,124,199,65,
555,120,210,78,
556,112,178,57,
557,141,213,62,
558,122,214,79,
559,119,185,57,
560,119,202,72,
561,125,192,58,
562,130,176,40,
563,108,179,61,
564,96,167,61,
565,105,176,61,
566,74,152,67,
567,83,161,67,
568,83,159,66,
569,58,146,76,
570,84,159,65,
571,88,146,50,
572,55,129,64,
573,58,128,60,
574,58,128,60,
575,23,108,73,
576,25,110,73,
577,79,144,56,
578,43,125,71,
579,29,103,64,
580,41,116,65,
581,53,119,57,
582,26,107,70,
583,38,106,59,
584,22,102,69,
585,33,105,62,
586,11,94,72,
587,48,113,56,
588,29,104,65,
589,13,80,58,
590,23,93,60,
591,26,87,53,
592,13,99,74,
593,25,99,64,
594,18,84,57,
595,29,101,62,
596,18,83,56,
597,27,93,57,
598,24,92,59,
599,4,80,66,
600,11,85,64,
601,10,70,52,
602,23,87,55,
603,8,88,69,
604,10,80,60,
605,7,85,67,
606,-9,74,72,
607,25,85,52,
608,13,81,59,
609,18,88,60,
610,-13,67,69,
611,25,96,61,
612,21,91,60,
613,15,82,58,
614,-2,71,63,
615,4,77,63,
616,11,91,69,
617,5,83,67,
618,-9,71,69,
619,20,91,61,
620,-8,59,58,
621,1,73,62,
622,13,78,56,
623,18,93,65,
624,25,85,52,
625,4,83,68,
626,-21,75,83,
627,1,87,74,
628,9,83,64,
629,-11,91,88,
630,10,89,68,
631,-23,82,91,
632,30,105,65,
633,-30,71,87,
634,-5,92,84,
635,0,88,76,
636,14,78,55,
637,-6,91,84,
638,1,91,78,
639,-29,76,91,
640,9,84,65,
641,3,90,75,
642,14,115,87,
643,-16,71,75,
644,-4,98,88,
645,2,99,84,
646,25,111,74,
647,6,82,66,
648,-29,89,102,
649,8,103,82,
650,-6,96,88,
651,22,109,75,
652,-5,103,93,
653,-18,93,96,
654,13,111,85,
655,13,101,76,
656,12,116,90,
657,24,105,70,
658,5,106,87,
659,-6,106,97,
660,7,114,92,
661,18,128,95,
662,17,124,92,
663,7,95,76,
664,4,105,87,
665,19,111,79,
666,-8,115,106,
667,-10,109,103,
668,14,108,81,
669,-1,103,90,
670,29,133,90,
671,-24,94,102,
672,-6,121,110,
673,-26,104,112,
674,-11,105,100,
675,-27,91,102,
676,19,126,92,
677,-8,93,87,
678,10,124,98,
679,7,123,100,
680,-33,105,119,
681,-2,120,105,
682,3,114,96,
