Channel,net Counts,Counts(w),Counts(wo),N=1.1586
1448,0,2,2,
1449,2,4,2,
1450,-1,1,2,
1451,2,2,0,
1452,-1,1,2,
1453,-1,2,3,
1454,-2,1,3,
1455,0,3,3,
1456,-1,1,2,
1457,-1,1,2,
1458,-1,1,2,
1459,2,7,4,
1460,0,3,3,
1461,4,5,1,
1462,-2,1,3,
1463,-1,0,1,
1464,1,2,1,
1465,-9,1,9,
1466,-2,1,3,
1467,1,4,3,
1468,-2,3,4,
1469,3,4,1,
1470,-1,2,3,
1471,1,4,3,
1472,-1,2,3,
1473,-1,1,2,
1474,2,4,2,
1475,6,7,1,
1476,-1,2,3,
1477,1,3,2,
1478,4,5,1,
1479,-1,1,2,
1480,0,2,2,
1481,0,2,2,
1482,0,1,1,
1483,-1,0,1,
1484,-2,1,3,
1485,2,3,1,
1486,0,1,1,
1487,1,4,3,
1488,-1,1,2,
1489,2,5,3,
1490,-4,2,5,
1491,1,2,1,
1492,-1,1,2,
1493,-1,1,2,
1494,4,5,1,
1495,2,4,2,
1496,-1,1,2,
1497,0,2,2,
1498,-3,0,3,
1499,-6,0,5,
1500,0,1,1,
1501,0,1,1,
1502,3,3,0,
1503,-2,0,2,
1504,1,2,1,
1505,-1,1,2,
1506,0,0,0,
1507,1,1,0,
1508,-1,0,1,
1509,1,3,2,
1510,-1,1,2,
1511,-3,0,3,
1512,-1,2,3,
1513,-1,4,4,
1514,1,2,1,
1515,1,2,1,
1516,2,2,0,
1517,5,5,0,
1518,4,5,1,
1519,2,3,1,
1520,1,2,1,
1521,0,1,1,
1522,-2,1,3,
1523,1,2,1,
1524,-2,0,2,
1525,3,4,1,
1526,2,3,1,
1527,5,6,1,
1528,1,2,1,
1529,2,3,1,
1530,2,3,1,
1531,1,1,0,
1532,1,1,0,
1533,0,1,1,
1534,0,2,2,
1535,0,1,1,
1536,2,4,2,
1537,-2,4,5,
1538,1,3,2,
1539,0,0,0,
1540,-1,1,2,
1541,1,4,3,
1542,-1,0,1,
1543,0,2,2,
1544,-1,0,1,
1545,3,3,0,
1546,0,2,2,
1547,4,5,1,
1548,0,0,0,
1549,2,3,1,
1550,1,2,1,
1551,2,3,1,
1552,-1,2,3,
1553,-2,1,3,
1554,-5,2,6,
1555,1,2,1,
1556,3,5,2,
1557,0,1,1,
1558,1,2,1,
1559,-4,1,4,
1560,4,6,2,
1561,-3,0,3,
1562,2,4,2,
1563,-1,1,2,
1564,-1,1,2,
1565,2,4,2,
1566,-3,0,3,
1567,0,2,2,
1568,2,3,1,
1569,1,2,1,
1570,3,8,4,
1571,0,1,1,
1572,1,3,2,
1573,2,4,2,
1574,2,3,1,
1575,3,5,2,
1576,1,3,2,
1577,-1,2,3,
1578,1,3,2,
1579,-2,5,6,
1580,4,7,3,
1581,-3,3,5,
1582,4,5,1,
1583,2,4,2,
1584,0,3,3,
1585,5,6,1,
1586,0,2,2,
1587,-1,6,6,
1588,4,10,5,
1589,-8,4,10,
1590,-4,5,8,
1591,4,10,5,
1592,-1,5,5,
1593,0,5,4,
1594,0,9,8,
1595,-3,9,10,
1596,-2,4,5,
1597,2,9,6,
1598,-4,5,8,
1599,5,12,6,
1600,0,5,4,
1601,0,8,7,
1602,-1,5,5,
1603,-4,8,10,
1604,2,8,5,
1605,5,10,4,
1606,2,7,4,
1607,2,7,4,
1608,-1,9,9,
1609,1,4,3,
1610,-5,3,7,
1611,-2,4,5,
1612,-2,5,6,
1613,3,9,5,
1614,4,5,1,
1615,0,5,4,
1616,1,4,3,
1617,-2,6,7,
1618,-10,2,10,
1619,0,5,4,
1620,-3,5,7,
1621,1,6,4,
1622,-2,1,3,
1623,5,7,2,
1624,4,6,2,
1625,2,7,4,
1626,3,5,2,
1627,2,2,0,
1628,-2,1,3,
1629,-4,1,4,
1630,1,4,3,
1631,-2,3,4,
1632,-2,1,3,
1633,-1,0,1,
1634,5,5,0,
1635,-2,0,2,
1636,2,2,0,
1637,-6,2,7,
1638,-5,1,5,
1639,0,1,1,
1640,0,1,1,
1641,-2,1,3,
1642,-1,1,2,
1643,1,2,1,
1644,1,2,1,
1645,0,0,0,
1646,-3,0,3,
1647,1,1,0,
1648,-1,1,2,
1649,0,1,1,
1650,0,1,1,
1651,2,2,0,
1652,1,1,0,
1653,-1,0,1,
1654,3,3,0,
1655,0,0,0,
1656,-1,0,1,
1657,1,1,0,
1658,1,1,0,
1659,0,1,1,
1660,1,2,1,
1661,-2,0,2,
1662,0,0,0,
1663,-1,0,1,
1664,3,3,0,
1665,-1,0,1,
1666,1,2,1,
1667,0,1,1,
1668,2,2,0,
1669,-1,0,1,
1670,-1,0,1,
1671,1,2,1,
1672,0,0,0,
1673,3,4,1,
1674,-1,0,1,
1675,0,0,0,
1676,0,1,1,
1677,-1,0,1,
1678,0,0,0,
1679,-2,0,2,
1680,-2,1,3,
1681,1,1,0,
1682,0,1,1,
1683,-2,0,2,
1684,3,3,0,
1685,-1,0,1,
1686,0,0,0,
1687,-1,1,2,
1688,-2,0,2,
1689,1,1,0,
1690,-1,0,1,
1691,2,2,0,
1692,-1,1,2,
1693,0,0,0,
1694,0,0,0,
1695,0,0,0,
1696,0,0,0,
1697,0,0,0,
1698,1,2,1,
1699,3,3,0,
1700,0,0,0,
1701,-1,0,1,
1702,0,2,2,
1703,-1,0,1,
1704,0,0,0,
1705,1,2,1,
1706,-2,0,2,
1707,0,0,0,
1708,1,1,0,
1709,-1,0,1,
1710,0,0,0,
1711,-1,2,3,
1712,1,1,0,
1713,1,1,0,
1714,0,0,0,
1715,-1,0,1,
1716,-1,0,1,
1717,-3,0,3,
1718,-1,0,1,
1719,0,0,0,
1720,1,1,0,
1721,1,2,1,
1722,1,1,0,
1723,1,1,0,
1724,1,1,0,
1725,1,1,0,
1726,1,1,0,
1727,-1,1,2,
1728,0,0,0,
1729,-1,0,1,
1730,0,0,0,
1731,2,2,0,
1732,2,2,0,
1733,-2,0,2,
1734,0,0,0,
1735,-2,0,2,
1736,-1,1,2,
1737,0,0,0,
1738,1,1,0,
1739,-2,1,3,
1740,0,1,1,
1741,3,4,1,
1742,1,1,0,
1743,0,0,0,
1744,1,1,0,
1745,2,2,0,
1746,0,2,2,
1747,-3,0,3,
1748,2,2,0,
1749,-5,0,4,
1750,0,1,1,
1751,1,2,1,
1752,4,4,0,
1753,-2,0,2,
1754,1,2,1,
1755,2,3,1,
1756,0,0,0,
1757,0,1,1,
1758,0,0,0,
1759,0,1,1,
1760,0,0,0,
1761,-2,1,3,
1762,-1,1,2,
1763,1,1,0,
1764,0,0,0,
1765,1,1,0,
1766,0,0,0,
1767,-1,0,1,
1768,0,0,0,
1769,2,2,0,
1770,-1,0,1,
1771,0,1,1,
1772,3,3,0,
1773,0,0,0,
1774,0,0,0,
1775,1,1,0,
1776,0,0,0,
1777,0,0,0,
1778,1,1,0,
1779,2,2,0,
1780,0,1,1,
1781,1,1,0,
1782,-1,0,1,
1783,0,0,0,
1784,1,1,0,
1785,2,2,0,
1786,0,1,1,
1787,0,1,1,
1788,1,1,0,
1789,0,1,1,
1790,-1,1,2,
1791,-1,0,1,
1792,-2,0,2,
1793,1,1,0,
1794,-1,0,1,
1795,2,2,0,
1796,-1,0,1,
1797,-2,0,2,
1798,1,2,1,
1799,-1,0,1,
1800,0,0,0,
1801,0,0,0,
1802,-3,0,3,
1803,1,1,0,
1804,0,0,0,
1805,0,0,0,
1806,0,1,1,
1807,0,0,0,
1808,1,1,0,
1809,1,1,0,
1810,0,0,0,
1811,-1,0,1,
1812,0,0,0,
1813,-1,0,1,
1814,-2,0,2,
1815,0,0,0,
1816,0,0,0,
1817,-1,0,1,
1818,0,0,0,
1819,0,1,1,
1820,0,0,0,
1821,0,1,1,
1822,0,0,0,
1823,0,1,1,
1824,0,0,0,
1825,-2,0,2,
1826,-1,0,1,
1827,1,1,0,
1828,0,0,0,
1829,-1,0,1,
1830,1,1,0,
1831,0,1,1,
1832,0,0,0,
1833,1,1,0,
1834,1,1,0,
1835,0,0,0,
1836,0,0,0,
1837,0,0,0,
1838,0,0,0,
1839,0,0,0,
1840,1,1,0,
1841,0,0,0,
1842,-1,0,1,
1843,0,0,0,
1844,0,0,0,
1845,0,1,1,
1846,0,0,0,
1847,0,0,0,
1848,0,0,0,
1849,0,0,0,
1850,0,0,0,
1851,-2,0,2,
1852,0,0,0,
1853,1,1,0,
1854,0,0,0,
1855,0,0,0,
1856,-2,1,3,
1857,1,1,0,
1858,0,1,1,
1859,0,0,0,
1860,-1,0,1,
1861,0,0,0,
1862,2,2,0,
1863,1,1,0,
1864,0,0,0,
1865,0,0,0,
1866,2,2,0,
1867,1,1,0,
1868,0,0,0,
1869,0,0,0,
1870,0,0,0,
1871,0,0,0,
1872,1,2,1,
1873,0,0,0,
1874,-1,0,1,
1875,1,1,0,
1876,1,1,0,
1877,-1,0,1,
1878,0,0,0,
1879,0,0,0,
1880,-1,0,1,
1881,1,1,0,
1882,1,2,1,
1883,0,0,0,
1884,1,1,0,
1885,-2,0,2,
1886,1,1,0,
1887,0,0,0,
1888,1,1,0,
1889,0,1,1,
1890,1,1,0,
1891,-1,0,1,
1892,1,1,0,
1893,0,0,0,
1894,0,0,0,
1895,0,0,0,
1896,0,1,1,
1897,0,0,0,
1898,2,2,0,
1899,0,0,0,
1900,0,0,0,
1901,0,0,0,
1902,-1,0,1,
1903,0,0,0,
1904,0,0,0,
1905,0,1,1,
1906,-1,0,1,
1907,-1,0,1,
1908,-1,0,1,
1909,0,0,0,
1910,0,1,1,
1911,-1,1,2,
1912,-1,0,1,
1913,0,1,1,
1914,-2,0,2,
1915,0,0,0,
1916,0,1,1,
1917,0,0,0,
1918,0,0,0,
1919,0,1,1,
1920,1,1,0,
1921,1,1,0,
1922,0,0,0,
1923,-1,1,2,
1924,0,0,0,
1925,0,0,0,
1926,0,0,0,
1927,-1,1,2,
1928,-1,0,1,
1929,0,1,1,
1930,0,0,0,
1931,-1,0,1,
1932,1,2,1,
1933,0,1,1,
1934,0,0,0,
1935,2,2,0,
1936,0,0,0,
1937,-2,0,2,
1938,0,0,0,
1939,0,1,1,
1940,-1,0,1,
1941,-3,0,3,
1942,0,1,1,
1943,1,1,0,
1944,2,2,0,
1945,1,1,0,
1946,0,1,1,
1947,1,1,0,
1948,0,1,1,
1949,1,1,0,
1950,0,0,0,
1951,1,1,0,
1952,0,0,0,
1953,1,1,0,
1954,1,1,0,
1955,-1,0,1,
1956,0,0,0,
1957,0,0,0,
1958,1,1,0,
1959,-1,0,1,
1960,0,0,0,
1961,0,0,0,
1962,1,1,0,
1963,0,1,1,
1964,0,0,0,
1965,1,1,0,
1966,-1,0,1,
1967,0,0,0,
1968,0,0,0,
1969,0,0,0,
1970,1,1,0,
1971,0,0,0,
1972,0,0,0,
1973,1,1,0,
1974,1,1,0,
1975,-1,0,1,
1976,0,0,0,
1977,-3,0,3,
1978,0,0,0,
1979,0,0,0,
1980,1,1,0,
1981,1,1,0,
1982,0,0,0,
1983,0,0,0,
1984,0,0,0,
1985,0,0,0,
1986,1,1,0,
1987,0,0,0,
1988,-1,0,1,
1989,1,1,0,
1990,1,1,0,
1991,-1,0,1,
1992,0,0,0,
1993,0,0,0,
1994,1,1,0,
1995,0,0,0,
1996,0,0,0,
1997,0,0,0,
1998,0,0,0,
1999,0,0,0,
2000,1,1,0,
2001,0,0,0,
2002,-1,0,1,
2003,0,0,0,
2004,0,0,0,
2005,0,0,0,
2006,0,0,0,
2007,0,0,0,
2008,1,1,0,
2009,-1,0,1,
2010,0,0,0,
2011,-2,0,2,
2012,1,1,0,
2013,0,0,0,
2014,0,0,0,
2015,-1,0,1,
2016,0,0,0,
2017,-1,0,1,
2018,1,1,0,
2019,0,0,0,
2020,0,0,0,
2021,0,0,0,
2022,0,0,0,
2023,1,1,0,
2024,0,0,0,
2025,0,0,0,
2026,0,0,0,
2027,0,0,0,
2028,0,0,0,
2029,2,2,0,
2030,0,0,0,
2031,0,0,0,
2032,0,0,0,
2033,-1,0,1,
2034,0,0,0,
2035,0,0,0,
2036,-1,0,1,
2037,0,0,0,
2038,-1,1,2,
2039,1,2,1,
2040,-1,0,1,
2041,0,0,0,
2042,0,0,0,
2043,-1,0,1,
2044,1,1,0,
2045,1,1,0,
2046,1,1,0,
2047,1,1,0,
